Send Time,Send message,Received Time,Received message
47:48.940,1:Hi,47:49.462,1:Hi
47:49.000,2:Hi,47:49.523,2:Hi
47:49.660,3:Hi,47:49.719,3:Hi
47:49.862,4:Hi,47:49.917,4:Hi
47:50.062,5:Hi,47:50.119,5:Hi
47:50.264,6:Hi,47:50.329,6:Hi
47:50.464,7:Hi,47:50.526,7:Hi
47:50.665,8:Hi,47:50.728,8:Hi
47:50.870,9:Hi,47:50.931,9:Hi
47:51.070,10:Hi,47:51.126,10:Hi
47:51.276,11:Hi,47:51.329,11:Hi
47:51.479,12:Hi,47:51.535,12:Hi
47:51.680,13:Hi,47:51.733,13:Hi
47:51.882,14:Hi,47:51.938,14:Hi
47:52.088,15:Hi,47:52.144,15:Hi
47:52.287,16:Hi,47:52.344,16:Hi
47:52.494,17:Hi,47:52.551,17:Hi
47:52.694,18:Hi,47:52.751,18:Hi
47:52.896,19:Hi,47:52.954,19:Hi
47:53.097,20:Hi,47:53.154,20:Hi
47:53.298,21:Hi,47:53.359,21:Hi
47:53.500,22:Hi,47:53.558,22:Hi
47:53.708,23:Hi,47:53.772,23:Hi
47:53.909,24:Hi,47:53.961,24:Hi
47:54.109,25:Hi,47:54.165,25:Hi
47:54.311,26:Hi,47:54.378,26:Hi
47:54.516,27:Hi,47:54.570,27:Hi
47:54.720,28:Hi,47:54.774,28:Hi
47:54.922,29:Hi,47:54.980,29:Hi
47:55.125,30:Hi,47:55.186,30:Hi
47:55.327,31:Hi,47:55.385,31:Hi
47:55.528,32:Hi,47:55.582,32:Hi
47:55.729,33:Hi,47:55.788,33:Hi
47:55.934,34:Hi,47:55.990,34:Hi
47:56.138,35:Hi,47:56.201,35:Hi
47:56.341,36:Hi,47:56.401,36:Hi
47:56.547,37:Hi,47:56.601,37:Hi
47:56.750,38:Hi,47:56.808,38:Hi
47:56.951,39:Hi,47:57.010,39:Hi
47:57.153,40:Hi,47:57.212,40:Hi
47:57.354,41:Hi,47:57.406,41:Hi
47:57.560,42:Hi,47:57.615,42:Hi
47:57.763,43:Hi,47:57.817,43:Hi
47:57.966,44:Hi,47:58.022,44:Hi
47:58.169,45:Hi,47:58.222,45:Hi
47:58.373,46:Hi,47:58.428,46:Hi
47:58.573,47:Hi,47:58.629,47:Hi
47:58.775,48:Hi,47:58.833,48:Hi
47:58.977,49:Hi,47:59.032,49:Hi
47:59.182,50:Hi,47:59.285,50:Hi
47:59.383,51:Hi,47:59.444,51:Hi
47:59.584,52:Hi,47:59.656,52:Hi
47:59.796,53:Hi,47:59.864,53:Hi
47:59.999,54:Hi,48:00.064,54:Hi
48:00.204,55:Hi,48:00.261,55:Hi
48:00.410,56:Hi,48:00.477,56:Hi
48:00.615,57:Hi,48:00.688,57:Hi
48:00.817,58:Hi,48:00.882,58:Hi
48:01.016,59:Hi,48:01.073,59:Hi
48:01.219,60:Hi,48:01.284,60:Hi
48:01.423,61:Hi,48:01.497,61:Hi
48:01.626,62:Hi,48:01.703,62:Hi
48:01.829,63:Hi,48:01.904,63:Hi
48:02.035,64:Hi,48:02.115,64:Hi
48:02.236,65:Hi,48:02.324,65:Hi
48:02.439,66:Hi,48:02.518,66:Hi
48:02.643,67:Hi,48:02.725,67:Hi
48:02.845,68:Hi,48:02.931,68:Hi
48:03.050,69:Hi,48:03.141,69:Hi
48:03.252,70:Hi,48:03.345,70:Hi
48:03.457,71:Hi,48:03.554,71:Hi
48:03.663,72:Hi,48:03.718,72:Hi
48:03.866,73:Hi,48:03.924,73:Hi
48:04.069,74:Hi,48:04.128,74:Hi
48:04.271,75:Hi,48:04.329,75:Hi
48:04.476,76:Hi,48:04.535,76:Hi
48:04.682,77:Hi,48:04.739,77:Hi
48:04.884,78:Hi,48:04.939,78:Hi
48:05.086,79:Hi,48:05.142,79:Hi
48:05.290,80:Hi,48:05.344,80:Hi
48:05.491,81:Hi,48:05.548,81:Hi
48:05.691,82:Hi,48:05.751,82:Hi
48:05.897,83:Hi,48:05.954,83:Hi
48:06.101,84:Hi,48:06.158,84:Hi
48:06.304,85:Hi,48:06.361,85:Hi
48:06.505,86:Hi,48:06.563,86:Hi
48:06.707,87:Hi,48:06.763,87:Hi
48:06.914,88:Hi,48:06.978,88:Hi
48:07.117,89:Hi,48:07.176,89:Hi
48:07.327,90:Hi,48:07.386,90:Hi
48:07.531,91:Hi,48:07.588,91:Hi
48:07.733,92:Hi,48:07.792,92:Hi
48:07.938,93:Hi,48:07.997,93:Hi
48:08.145,94:Hi,48:08.199,94:Hi
48:08.349,95:Hi,48:08.407,95:Hi
48:08.553,96:Hi,48:08.607,96:Hi
48:08.759,97:Hi,48:08.815,97:Hi
48:08.961,98:Hi,48:09.020,98:Hi
48:09.164,99:Hi,48:09.222,99:Hi
48:09.368,100:Hi,48:09.422,100:Hi
48:09.571,101:Hi,48:09.633,101:Hi
48:09.775,102:Hi,48:09.831,102:Hi
48:09.981,103:Hi,48:10.036,103:Hi
48:10.184,104:Hi,48:10.246,104:Hi
48:10.389,105:Hi,48:10.447,105:Hi
48:10.595,106:Hi,48:10.656,106:Hi
48:10.796,107:Hi,48:10.849,107:Hi
48:10.998,108:Hi,48:11.058,108:Hi
48:11.199,109:Hi,48:11.268,109:Hi
48:11.400,110:Hi,48:11.455,110:Hi
48:11.604,111:Hi,48:11.661,111:Hi
48:11.807,112:Hi,48:11.861,112:Hi
48:12.012,113:Hi,48:12.066,113:Hi
48:12.213,114:Hi,48:12.271,114:Hi
48:12.417,115:Hi,48:12.469,115:Hi
48:12.618,116:Hi,48:12.675,116:Hi
48:12.821,117:Hi,48:12.883,117:Hi
48:13.021,118:Hi,48:13.081,118:Hi
48:13.224,119:Hi,48:13.284,119:Hi
48:13.429,120:Hi,48:13.485,120:Hi
48:13.634,121:Hi,48:13.691,121:Hi
48:13.835,122:Hi,48:13.897,122:Hi
48:14.036,123:Hi,48:14.092,123:Hi
48:14.236,124:Hi,48:14.297,124:Hi
48:14.438,125:Hi,48:14.496,125:Hi
48:14.643,126:Hi,48:14.697,126:Hi
48:14.844,127:Hi,48:14.902,127:Hi
48:15.050,128:Hi,48:15.105,128:Hi
48:15.254,129:Hi,48:15.310,129:Hi
48:15.461,130:Hi,48:15.523,130:Hi
48:15.663,131:Hi,48:15.725,131:Hi
48:15.865,132:Hi,48:15.929,132:Hi
48:16.079,133:Hi,48:16.137,133:Hi
48:16.281,134:Hi,48:16.339,134:Hi
48:16.481,135:Hi,48:16.534,135:Hi
48:16.684,136:Hi,48:16.741,136:Hi
48:16.888,137:Hi,48:16.950,137:Hi
48:17.092,138:Hi,48:17.147,138:Hi
48:17.299,139:Hi,48:17.359,139:Hi
48:17.503,140:Hi,48:17.555,140:Hi
48:17.707,141:Hi,48:17.768,141:Hi
48:17.909,142:Hi,48:17.966,142:Hi
48:18.114,143:Hi,48:18.168,143:Hi
48:18.315,144:Hi,48:18.372,144:Hi
48:18.519,145:Hi,48:18.574,145:Hi
48:18.723,146:Hi,48:18.782,146:Hi
48:18.924,147:Hi,48:18.978,147:Hi
48:19.126,148:Hi,48:19.179,148:Hi
48:19.328,149:Hi,48:19.386,149:Hi
48:19.532,150:Hi,48:19.591,150:Hi
48:19.735,151:Hi,48:19.804,151:Hi
48:19.940,152:Hi,48:19.994,152:Hi
48:20.144,153:Hi,48:20.204,153:Hi
48:20.345,154:Hi,48:20.407,154:Hi
48:20.547,155:Hi,48:20.612,155:Hi
48:20.750,156:Hi,48:20.807,156:Hi
48:20.950,157:Hi,48:21.007,157:Hi
48:21.153,158:Hi,48:21.209,158:Hi
48:21.353,159:Hi,48:21.416,159:Hi
48:21.553,160:Hi,48:21.613,160:Hi
48:21.758,161:Hi,48:21.822,161:Hi
48:21.960,162:Hi,48:22.020,162:Hi
48:22.161,163:Hi,48:22.222,163:Hi
48:22.366,164:Hi,48:22.422,164:Hi
48:22.571,165:Hi,48:22.627,165:Hi
48:22.779,166:Hi,48:22.840,166:Hi
48:22.983,167:Hi,48:23.038,167:Hi
48:23.185,168:Hi,48:23.244,168:Hi
48:23.387,169:Hi,48:23.465,169:Hi
48:23.589,170:Hi,48:23.648,170:Hi
48:23.795,171:Hi,48:23.853,171:Hi
48:24.009,172:Hi,48:24.065,172:Hi
48:24.211,173:Hi,48:24.264,173:Hi
48:24.415,174:Hi,48:24.481,174:Hi
48:24.620,175:Hi,48:24.675,175:Hi
48:24.825,176:Hi,48:24.880,176:Hi
48:25.029,177:Hi,48:25.089,177:Hi
48:25.230,178:Hi,48:25.287,178:Hi
48:25.434,179:Hi,48:25.491,179:Hi
48:25.634,180:Hi,48:25.693,180:Hi
48:25.839,181:Hi,48:25.895,181:Hi
48:26.043,182:Hi,48:26.111,182:Hi
48:26.246,183:Hi,48:26.303,183:Hi
48:26.447,184:Hi,48:26.502,184:Hi
48:26.651,185:Hi,48:26.708,185:Hi
48:26.855,186:Hi,48:26.931,186:Hi
48:27.058,187:Hi,48:27.114,187:Hi
48:27.261,188:Hi,48:27.319,188:Hi
48:27.465,189:Hi,48:27.523,189:Hi
48:27.668,190:Hi,48:27.726,190:Hi
48:27.872,191:Hi,48:27.925,191:Hi
48:28.077,192:Hi,48:28.130,192:Hi
48:28.281,193:Hi,48:28.338,193:Hi
48:28.482,194:Hi,48:28.536,194:Hi
48:28.682,195:Hi,48:28.744,195:Hi
48:28.884,196:Hi,48:28.937,196:Hi
48:29.084,197:Hi,48:29.142,197:Hi
48:29.291,198:Hi,48:29.348,198:Hi
48:29.494,199:Hi,48:29.555,199:Hi
48:29.697,200:Hi,48:29.760,200:Hi
48:29.902,201:Hi,48:29.959,201:Hi
48:30.106,202:Hi,48:30.164,202:Hi
48:30.312,203:Hi,48:30.377,203:Hi
48:30.514,204:Hi,48:30.570,204:Hi
48:30.714,205:Hi,48:30.768,205:Hi
48:30.919,206:Hi,48:30.986,206:Hi
48:31.124,207:Hi,48:31.188,207:Hi
48:31.330,208:Hi,48:31.387,208:Hi
48:31.532,209:Hi,48:31.586,209:Hi
48:31.737,210:Hi,48:31.797,210:Hi
48:31.942,211:Hi,48:31.994,211:Hi
48:32.144,212:Hi,48:32.196,212:Hi
48:32.348,213:Hi,48:32.405,213:Hi
48:32.550,214:Hi,48:32.616,214:Hi
48:32.756,215:Hi,48:32.813,215:Hi
48:32.958,216:Hi,48:33.018,216:Hi
48:33.158,217:Hi,48:33.214,217:Hi
48:33.359,218:Hi,48:33.417,218:Hi
48:33.562,219:Hi,48:33.615,219:Hi
48:33.767,220:Hi,48:33.828,220:Hi
48:33.971,221:Hi,48:34.033,221:Hi
48:34.174,222:Hi,48:34.229,222:Hi
48:34.379,223:Hi,48:34.434,223:Hi
48:34.582,224:Hi,48:34.637,224:Hi
48:34.785,225:Hi,48:34.844,225:Hi
48:34.989,226:Hi,48:35.050,226:Hi
48:35.192,227:Hi,48:35.252,227:Hi
48:35.395,228:Hi,48:35.453,228:Hi
48:35.598,229:Hi,48:35.655,229:Hi
48:35.799,230:Hi,48:35.855,230:Hi
48:36.001,231:Hi,48:36.059,231:Hi
48:36.201,232:Hi,48:36.259,232:Hi
48:36.407,233:Hi,48:36.462,233:Hi
48:36.608,234:Hi,48:36.665,234:Hi
48:36.809,235:Hi,48:36.865,235:Hi
48:37.013,236:Hi,48:37.069,236:Hi
48:37.218,237:Hi,48:37.276,237:Hi
48:37.419,238:Hi,48:37.481,238:Hi
48:37.622,239:Hi,48:37.681,239:Hi
48:37.824,240:Hi,48:37.879,240:Hi
48:38.031,241:Hi,48:38.126,241:Hi
48:38.233,242:Hi,48:38.293,242:Hi
48:38.434,243:Hi,48:38.489,243:Hi
48:38.639,244:Hi,48:38.700,244:Hi
48:38.839,245:Hi,48:38.896,245:Hi
48:39.045,246:Hi,48:39.101,246:Hi
48:39.251,247:Hi,48:39.308,247:Hi
48:39.452,248:Hi,48:39.508,248:Hi
48:39.655,249:Hi,48:39.711,249:Hi
48:39.859,250:Hi,48:39.918,250:Hi
48:40.060,251:Hi,48:40.120,251:Hi
48:40.260,252:Hi,48:40.325,252:Hi
48:40.463,253:Hi,48:40.528,253:Hi
48:40.666,254:Hi,48:40.725,254:Hi
48:40.870,255:Hi,48:40.928,255:Hi
48:41.072,256:Hi,48:41.129,256:Hi
48:41.277,257:Hi,48:41.336,257:Hi
48:41.480,258:Hi,48:41.542,258:Hi
48:41.681,259:Hi,48:41.736,259:Hi
48:41.881,260:Hi,48:41.946,260:Hi
48:42.082,261:Hi,48:42.138,261:Hi
48:42.283,262:Hi,48:42.338,262:Hi
48:42.484,263:Hi,48:42.544,263:Hi
48:42.687,264:Hi,48:42.742,264:Hi
48:42.888,265:Hi,48:42.953,265:Hi
48:43.093,266:Hi,48:43.157,266:Hi
48:43.294,267:Hi,48:43.351,267:Hi
48:43.496,268:Hi,48:43.554,268:Hi
48:43.695,269:Hi,48:43.758,269:Hi
48:43.900,270:Hi,48:43.963,270:Hi
48:44.102,271:Hi,48:44.162,271:Hi
48:44.309,272:Hi,48:44.368,272:Hi
48:44.515,273:Hi,48:44.579,273:Hi
48:44.719,274:Hi,48:44.778,274:Hi
48:44.921,275:Hi,48:44.988,275:Hi
48:45.128,276:Hi,48:45.192,276:Hi
48:45.332,277:Hi,48:45.399,277:Hi
48:45.536,278:Hi,48:45.599,278:Hi
48:45.745,279:Hi,48:45.803,279:Hi
48:45.951,280:Hi,48:46.006,280:Hi
48:46.153,281:Hi,48:46.215,281:Hi
48:46.358,282:Hi,48:46.433,282:Hi
48:46.562,283:Hi,48:46.626,283:Hi
48:46.764,284:Hi,48:46.819,284:Hi
48:46.967,285:Hi,48:47.030,285:Hi
48:47.169,286:Hi,48:47.228,286:Hi
48:47.370,287:Hi,48:47.432,287:Hi
48:47.574,288:Hi,48:47.632,288:Hi
48:47.778,289:Hi,48:47.834,289:Hi
48:47.978,290:Hi,48:48.034,290:Hi
48:48.181,291:Hi,48:48.240,291:Hi
48:48.386,292:Hi,48:48.445,292:Hi
48:48.590,293:Hi,48:48.645,293:Hi
48:48.791,294:Hi,48:48.847,294:Hi
48:48.993,295:Hi,48:49.063,295:Hi
48:49.198,296:Hi,48:49.332,296:Hi
48:49.398,297:Hi,48:49.455,297:Hi
48:49.601,298:Hi,48:49.659,298:Hi
48:49.804,299:Hi,48:49.868,299:Hi
48:50.008,300:Hi,48:50.067,300:Hi
48:50.213,301:Hi,48:50.273,301:Hi
48:50.417,302:Hi,48:50.475,302:Hi
48:50.618,303:Hi,48:50.676,303:Hi
48:50.819,304:Hi,48:50.880,304:Hi
48:51.024,305:Hi,48:51.084,305:Hi
48:51.226,306:Hi,48:51.288,306:Hi
48:51.427,307:Hi,48:51.485,307:Hi
48:51.629,308:Hi,48:51.683,308:Hi
48:51.829,309:Hi,48:51.888,309:Hi
48:52.036,310:Hi,48:52.101,310:Hi
48:52.236,311:Hi,48:52.292,311:Hi
48:52.440,312:Hi,48:52.498,312:Hi
48:52.642,313:Hi,48:52.704,313:Hi
48:52.846,314:Hi,48:52.906,314:Hi
48:53.049,315:Hi,48:53.114,315:Hi
48:53.249,316:Hi,48:53.307,316:Hi
48:53.450,317:Hi,48:53.509,317:Hi
48:53.653,318:Hi,48:53.714,318:Hi
48:53.854,319:Hi,48:53.909,319:Hi
48:54.055,320:Hi,48:54.111,320:Hi
48:54.258,321:Hi,48:54.316,321:Hi
48:54.463,322:Hi,48:54.527,322:Hi
48:54.667,323:Hi,48:54.726,323:Hi
48:54.872,324:Hi,48:54.934,324:Hi
48:55.074,325:Hi,48:55.131,325:Hi
48:55.276,326:Hi,48:55.347,326:Hi
48:55.480,327:Hi,48:55.543,327:Hi
48:55.683,328:Hi,48:55.742,328:Hi
48:55.884,329:Hi,48:55.939,329:Hi
48:56.085,330:Hi,48:56.144,330:Hi
48:56.286,331:Hi,48:56.346,331:Hi
48:56.488,332:Hi,48:56.551,332:Hi
48:56.692,333:Hi,48:56.754,333:Hi
48:56.896,334:Hi,48:56.957,334:Hi
48:57.101,335:Hi,48:57.157,335:Hi
48:57.303,336:Hi,48:57.361,336:Hi
48:57.511,337:Hi,48:57.571,337:Hi
48:57.716,338:Hi,48:57.770,338:Hi
48:57.920,339:Hi,48:57.975,339:Hi
48:58.122,340:Hi,48:58.185,340:Hi
48:58.324,341:Hi,48:58.379,341:Hi
48:58.526,342:Hi,48:58.582,342:Hi
48:58.728,343:Hi,48:58.787,343:Hi
48:58.928,344:Hi,48:58.985,344:Hi
48:59.131,345:Hi,48:59.188,345:Hi
48:59.336,346:Hi,48:59.396,346:Hi
48:59.540,347:Hi,48:59.601,347:Hi
48:59.745,348:Hi,48:59.813,348:Hi
48:59.947,349:Hi,49:00.011,349:Hi
49:00.148,350:Hi,49:00.208,350:Hi
49:00.351,351:Hi,49:00.471,351:Hi
49:00.556,352:Hi,49:00.609,352:Hi
49:00.760,353:Hi,49:00.822,353:Hi
49:00.972,354:Hi,49:01.033,354:Hi
49:01.183,355:Hi,49:01.244,355:Hi
49:01.384,356:Hi,49:01.438,356:Hi
49:01.585,357:Hi,49:01.641,357:Hi
49:01.792,358:Hi,49:01.852,358:Hi
49:01.994,359:Hi,49:02.059,359:Hi
49:02.197,360:Hi,49:02.276,360:Hi
49:02.398,361:Hi,49:02.458,361:Hi
49:02.599,362:Hi,49:02.657,362:Hi
49:02.801,363:Hi,49:02.863,363:Hi
49:03.005,364:Hi,49:03.061,364:Hi
49:03.210,365:Hi,49:03.267,365:Hi
49:03.413,366:Hi,49:03.473,366:Hi
49:03.618,367:Hi,49:03.673,367:Hi
49:03.822,368:Hi,49:03.878,368:Hi
49:04.026,369:Hi,49:04.093,369:Hi
49:04.225,370:Hi,49:04.285,370:Hi
49:04.430,371:Hi,49:04.488,371:Hi
49:04.634,372:Hi,49:04.696,372:Hi
49:04.837,373:Hi,49:04.892,373:Hi
49:05.042,374:Hi,49:05.103,374:Hi
49:05.246,375:Hi,49:05.303,375:Hi
49:05.447,376:Hi,49:05.506,376:Hi
49:05.652,377:Hi,49:05.714,377:Hi
49:05.853,378:Hi,49:05.913,378:Hi
49:06.055,379:Hi,49:06.113,379:Hi
49:06.256,380:Hi,49:06.309,380:Hi
49:06.462,381:Hi,49:06.519,381:Hi
49:06.665,382:Hi,49:06.724,382:Hi
49:06.866,383:Hi,49:06.926,383:Hi
49:07.067,384:Hi,49:07.128,384:Hi
49:07.273,385:Hi,49:07.331,385:Hi
49:07.478,386:Hi,49:07.548,386:Hi
49:07.680,387:Hi,49:07.737,387:Hi
49:07.884,388:Hi,49:07.939,388:Hi
49:08.090,389:Hi,49:08.145,389:Hi
49:08.292,390:Hi,49:08.362,390:Hi
49:08.495,391:Hi,49:08.552,391:Hi
49:08.699,392:Hi,49:08.759,392:Hi
49:08.900,393:Hi,49:08.961,393:Hi
49:09.105,394:Hi,49:09.163,394:Hi
49:09.305,395:Hi,49:09.366,395:Hi
49:09.509,396:Hi,49:09.565,396:Hi
49:09.712,397:Hi,49:09.768,397:Hi
49:09.917,398:Hi,49:09.977,398:Hi
49:10.119,399:Hi,49:10.179,399:Hi
49:10.325,400:Hi,49:10.384,400:Hi
49:10.525,401:Hi,49:10.580,401:Hi
49:10.727,402:Hi,49:10.786,402:Hi
49:10.931,403:Hi,49:10.986,403:Hi
49:11.133,404:Hi,49:11.191,404:Hi
49:11.334,405:Hi,49:11.397,405:Hi
49:11.537,406:Hi,49:11.599,406:Hi
49:11.742,407:Hi,49:11.797,407:Hi
49:11.946,408:Hi,49:12.007,408:Hi
49:12.151,409:Hi,49:12.210,409:Hi
49:12.360,410:Hi,49:12.414,410:Hi
49:12.563,411:Hi,49:12.624,411:Hi
49:12.763,412:Hi,49:12.819,412:Hi
49:12.965,413:Hi,49:13.030,413:Hi
49:13.166,414:Hi,49:13.220,414:Hi
49:13.368,415:Hi,49:13.429,415:Hi
49:13.574,416:Hi,49:13.630,416:Hi
49:13.778,417:Hi,49:13.832,417:Hi
49:13.979,418:Hi,49:14.035,418:Hi
49:14.183,419:Hi,49:14.244,419:Hi
49:14.389,420:Hi,49:14.443,420:Hi
49:14.595,421:Hi,49:14.663,421:Hi
49:14.796,422:Hi,49:14.858,422:Hi
49:14.997,423:Hi,49:15.056,423:Hi
49:15.202,424:Hi,49:15.261,424:Hi
49:15.403,425:Hi,49:15.461,425:Hi
49:15.603,426:Hi,49:15.661,426:Hi
49:15.806,427:Hi,49:15.862,427:Hi
49:16.011,428:Hi,49:16.065,428:Hi
49:16.212,429:Hi,49:16.270,429:Hi
49:16.419,430:Hi,49:16.480,430:Hi
49:16.623,431:Hi,49:16.683,431:Hi
49:16.826,432:Hi,49:16.883,432:Hi
49:17.029,433:Hi,49:17.086,433:Hi
49:17.230,434:Hi,49:17.293,434:Hi
49:17.431,435:Hi,49:17.485,435:Hi
49:17.633,436:Hi,49:17.690,436:Hi
49:17.836,437:Hi,49:17.895,437:Hi
49:18.042,438:Hi,49:18.101,438:Hi
49:18.244,439:Hi,49:18.304,439:Hi
49:18.444,440:Hi,49:18.499,440:Hi
49:18.649,441:Hi,49:18.711,441:Hi
49:18.852,442:Hi,49:18.914,442:Hi
49:19.054,443:Hi,49:19.109,443:Hi
49:19.262,444:Hi,49:19.317,444:Hi
49:19.465,445:Hi,49:19.521,445:Hi
49:19.668,446:Hi,49:19.725,446:Hi
49:19.868,447:Hi,49:19.926,447:Hi
49:20.070,448:Hi,49:20.126,448:Hi
49:20.271,449:Hi,49:20.325,449:Hi
49:20.472,450:Hi,49:20.535,450:Hi
49:20.676,451:Hi,49:20.739,451:Hi
49:20.878,452:Hi,49:20.934,452:Hi
49:21.083,453:Hi,49:21.140,453:Hi
49:21.284,454:Hi,49:21.344,454:Hi
49:21.484,455:Hi,49:21.540,455:Hi
49:21.684,456:Hi,49:21.747,456:Hi
49:21.889,457:Hi,49:21.947,457:Hi
49:22.095,458:Hi,49:22.151,458:Hi
49:22.299,459:Hi,49:22.354,459:Hi
49:22.502,460:Hi,49:22.557,460:Hi
49:22.703,461:Hi,49:22.760,461:Hi
49:22.908,462:Hi,49:22.962,462:Hi
49:23.111,463:Hi,49:23.173,463:Hi
49:23.311,464:Hi,49:23.369,464:Hi
49:23.512,465:Hi,49:23.568,465:Hi
49:23.713,466:Hi,49:23.781,466:Hi
49:23.914,467:Hi,49:23.975,467:Hi
49:24.119,468:Hi,49:24.176,468:Hi
49:24.321,469:Hi,49:24.380,469:Hi
49:24.521,470:Hi,49:24.578,470:Hi
49:24.726,471:Hi,49:24.782,471:Hi
49:24.931,472:Hi,49:24.994,472:Hi
49:25.131,473:Hi,49:25.191,473:Hi
49:25.334,474:Hi,49:25.393,474:Hi
49:25.536,475:Hi,49:25.593,475:Hi
49:25.741,476:Hi,49:25.799,476:Hi
49:25.942,477:Hi,49:26.000,477:Hi
49:26.145,478:Hi,49:26.209,478:Hi
49:26.347,479:Hi,49:26.403,479:Hi
49:26.549,480:Hi,49:26.608,480:Hi
49:26.751,481:Hi,49:26.807,481:Hi
49:26.951,482:Hi,49:27.009,482:Hi
49:27.153,483:Hi,49:27.213,483:Hi
49:27.354,484:Hi,49:27.408,484:Hi
49:27.558,485:Hi,49:27.618,485:Hi
49:27.763,486:Hi,49:27.815,486:Hi
49:27.967,487:Hi,49:28.027,487:Hi
49:28.169,488:Hi,49:28.224,488:Hi
49:28.373,489:Hi,49:28.430,489:Hi
49:28.575,490:Hi,49:28.631,490:Hi
49:28.776,491:Hi,49:28.842,491:Hi
49:28.976,492:Hi,49:29.037,492:Hi
49:29.178,493:Hi,49:29.233,493:Hi
49:29.384,494:Hi,49:29.443,494:Hi
49:29.587,495:Hi,49:29.647,495:Hi
49:29.794,496:Hi,49:29.855,496:Hi
49:29.997,497:Hi,49:30.053,497:Hi
49:30.201,498:Hi,49:30.257,498:Hi
49:30.401,499:Hi,49:30.457,499:Hi
49:30.607,500:Hi,49:30.672,500:Hi
49:30.809,501:Hi,49:30.868,501:Hi
